Entity,Code,Year,Age-standardized death rate from cardiovascular diseases among both sexes
Togo,TGO,2021,352.13202
Tonga,TON,2021,226.58646
Trinidad and Tobago,TTO,2021,181.61339
Tunisia,TUN,2021,232.55663
Turkey,TUR,2021,198.41202
Turkmenistan,TKM,2021,451.38705
Tuvalu,TUV,2021,449.74094
Uganda,UGA,2021,206.73013
Ukraine,UKR,2021,425.90277
United Arab Emirates,ARE,2021,159.98254
United Kingdom,GBR,2021,87.40047
United States of America,USA,2021,135.19675
Uruguay,URY,2021,128.02121
Uzbekistan,UZB,2021,512.8626
Vanuatu,VUT,2021,512.0303
Venezuela,VEN,2021,257.11063
Vietnam,VNM,2021,262.2454
World,OWID_WRL,2021,209.11801
Yemen,YEM,2021,444.68573
Zambia,ZMB,2021,291.1174
Zimbabwe,ZWE,2021,354.5972
